date,source,rating,title,text,thumbs_up,app_version,developer_replied
2025-12-01 13:48:32+00:00,Google Play,1,,please add UPI lite feature 🙏,0,8.8.8,True
2025-12-01 13:19:06+00:00,Google Play,4,,IN MIND ADVISOR OPTION STOCKS NAMES NOT VISIBLE CLEAR.,0,8.8.8,True
2025-12-01 11:52:34+00:00,Google Play,5,,very beautiful,0,8.8.8,True
2025-12-01 10:22:05+00:00,Google Play,5,,good,0,8.8.8,True
2025-12-01 02:45:52+00:00,Google Play,3,,"Please help us by enabling an option to share the learning certificates on LinkedIn or download them as a PDF, similar to how Zerodha Varsity provides. This feature will also increase IndMoney’s visibility on LinkedIn and attract more users to the platform. Thank you.",0,,True
2025-12-01 01:01:29+00:00,Google Play,5,,good 👍,0,,True
2025-11-30 21:57:20+00:00,Google Play,5,,ok tnq,0,8.8.8,True
2025-11-30 17:16:59+00:00,Google Play,1,,Worst service from the support. A stock is getting delisted and the positions will be liquidated but they didn't reply even after 10 days of filing an enquiry.,0,8.8.8,True
2025-11-30 15:49:26+00:00,Google Play,5,,ok,0,8.8.8,True
2025-11-30 15:02:01+00:00,Google Play,5,,very good,0,8.8.8,True
2025-11-30 13:04:59+00:00,Google Play,3,,The Best (5 star)in terms of buying and operating mutual funds but worst customer service support (1 star) if planning to buy insurance through it,0,8.8.8,True
2025-11-30 12:20:03+00:00,Google Play,5,,good experience.,0,8.8.6,True
2025-11-30 12:19:41+00:00,Google Play,1,,App would be great if budgeting and tracking using categories is customisable so people can record the transactions in real-time for which category and all. It was good initially now everything is cluttered I feel. UI is not so good,0,8.8.8,True
2025-11-30 10:12:56+00:00,App Store,5,INDmoney is one of the best finance apps I’ve used!,"The interface is clean and easy to use, and it helps me track all my investments in one place. I love the features like free credit score checks, FD/Mutual fund options, and automatic portfolio tracking. The app is fast, reliable, and very helpful for managing my money. Highly recommend it to anyone who wants a simple and smart way to handle finances!",0,5.9.3,False
2025-11-30 07:54:50+00:00,Google Play,4,,"1)I very disappointed customer service because Tamil language not available kindly arrange the team many people are used in tamilnadu so some information understand some information not understand both user and customer support 2)improve US stock explore page like separately divided mega,large,mid,small and more features implement for better user experience 3)before indian stock explore page super but now this update I very disappoint because seprate sector wise show a stock kindly implemet",0,8.8.8,True
2025-11-30 07:14:18+00:00,Google Play,4,,super,0,8.8.8,True
2025-11-30 01:26:58+00:00,Google Play,4,,"It needs more customization like candle charts, volume chart which are not available edit - thanks they actually added them.",0,8.8.8,True
2025-11-29 21:10:16+00:00,Google Play,5,,good app,0,8.8.8,True
2025-11-29 19:37:17+00:00,Google Play,5,,The best app,0,8.8.5,True
2025-11-29 17:34:18+00:00,Google Play,4,,I had some issues with KYC and depositing Update: All of my issues were resolved promptly by the support team ! Hopefully they will keep improving the application.,0,8.8.8,True
2025-11-29 15:27:22+00:00,Google Play,1,,"please stop sending frequently whats app messages, mail, Loan promotion, insurance promo, credit payment reminder, it's to much irritating. I know to pay my bill you don't remind. please stop after I have block you guys. still your sending every day. stop it",0,8.8.2,True
2025-11-29 12:00:34+00:00,Google Play,1,,1-MUST give MTFs for US Stocks 2-FUTURES & OPTIONS for Commodity MARKET 3 - FUTURES & OPTIONS for US STOCKS,0,8.5.6,True
2025-11-29 09:51:47+00:00,Google Play,5,,Use For Multiplex Stock market,0,,True
